,Unnamed: 0,username,description,location,following,followers,totaltweets,retweetcount,text
363,363,wizkidvoice,Everything @wizkidayo. @Manutd,🌟 STARBOY 🌹,439,841,55108,100,"You can now watch the full interview on AIT Kaakaki held on the 24th of October, 2022 at 7:25am.
https://t.co/4NNjHBrF4C
Meanwhile, I received a lovely clock gift from the Dynamics Ambassadors for Peter Obi (DAPO) as symbol for the countdown to our electoral victory come 2023. https://t.co/eaqo5Sbx5N"
364,364,adey_ol,"Mathematician || @ChelseaFC 💙💙
Lifting weights and chasing dreams💯💯",Somewhere around the world ,2236,2101,24906,2999,"Rufai on Arise TV “When will you release your manifesto”

Peter Obi “What’s more manifesting than what I’m telling you with my mouth”

😂😂😂😂😂 Daddy came to press necks and we love it!"
365,365,wizkidvoice,Everything @wizkidayo. @Manutd,🌟 STARBOY 🌹,439,841,55108,1218,"I will be Commander-in-Chief and I will deal with insecurity decisively - Peter Obi 

Live on #TheMorningShow https://t.co/WuoWQ8YkjB"
366,366,CodedHenzy,"A gentleman, motivator, Loving husband, caring father, preacher of the Word. 
I speak the truth an love saving people from perishing.",,53,13,477,4533,"DO YOU REMEMBER? 
Peter Obi was in Haiti in 2010 after the earthquake with Bob Manuel, aside from donating USD 200,000 he served as an aid worker with his son. 
Was he doing it because he wanted to run for president of Haiti?
No! https://t.co/KoLCuJnwFn"
367,367,nursebuchi,RN 💉/MSc. Health Informatics/Pro DJ// #PeterObi,,2112,1806,31287,19,"If you watch videos of where Buhari was asked very important questions and how he veered off course to talk about pins &amp; needles instead, you will remember that many of those demanding brilliant answers from Peter Obi today were the 'brilliant minds' who sold Buhari to Nigerians."
368,368,Spunkypower1,"for starters, am g.power.observing creative.really sensitive  ..above all no matter the swaggg God first...,,      #possibleNigeria.
#Realmadrid .est.1998","Lagos, Nigeria",4305,264,3684,206,"Under my leadership any service chief that is not performing will be sacked!! The lives of Nigerians are too important to play politics with security - Mr. Peter Obi 

NYSC • Go and Verify • Congratulations Doyin • Kenneth Okonkwo • Abati Seyi Tinubu • Kano https://t.co/vqgAJUEEjk"
369,369,lasunadep,"A quiet easy going man.

An unapologetic progressive, Chartered Accountant, Comp. Scientist, Unionist, Activist, Father, Better Naija Enthusiast 

FC Barcelona","Lagos, Nigeria ",1265,547,25922,286,"No matter how hard you try to rebrand Peter Obi 

He’s still the same man that refused to pay civil servants for 13months

The same man that watched as James Nwafor Mas*acreed Anambra citizens https://t.co/nBRCgk3yeS"
370,370,OyeNkuziMahadum,"Medical Biochemist, Organic/Biological Chemist, with a touch of Molecular Docking & Natural Product Research Skills (Agụmakwụkwọ bụ isi ihe na-eme nke ọma)",𝑈𝑛𝑖𝑡𝑒𝑑 𝑆𝑡𝑎𝑡𝑒𝑠 🇺🇸,1352,522,16208,103,"Fuel subsidy is an organised crime. Pakistan consumes 22M litres a day while Nigeria with similar population consumes 66M litres a day. ~Peter Obi

If you like vote nonsense and rubbish 2023"
371,371,YorubaFunPObi1,YORUBA 4 Ogbeni Peter Obi 🇮🇱🇳🇬🇲🇾,Wold,1148,688,1392,636,"This is one of the hottest interrogations for Peter Obi.

I put it to you if Bola Tinubu make himself available for Rufai and Abati on Arise TV, that day will be the end of his presidential ambitions 

😂😂😂😂😂😂😂"
372,372,CodedHenzy,"A gentleman, motivator, Loving husband, caring father, preacher of the Word. 
I speak the truth an love saving people from perishing.",,53,13,477,516,The truth is that helping humanity is his nature. If you are good you're good. Obi is not among these politicians who turn into emergency philanthropists when they want to contest elections. Peter Obi is an all-season philanthropist.
373,373,LdBridan,The bravest of hearts.,Calabar,823,647,1086,172,"Rufai: Mr Obi, will you be attending the debate holding on the 15th? NESG?

Peter Obi: 😀😁of course, any debate

God abeg, we need this man😭"
374,374,firstnameejike,Mind over Matter | Tech enthusiast | One of a kind | Successful | Visionary | Uranus | Blue-Gray | Sapphire | NC-SE-NE-SW Ambassador | Engineering,Nigeria,969,195,10237,196,"Dear Obidients,

Peter Obi is the only ex- Governor who forfeited his pension package for the common good of the Anambra people.

Tinubu and Atiku have collected billions of naira as pension since leaving office. 

This is a big selling point. Preach this gospel

Arise TV Rufai"
375,375,AlhajiBashiru6,"Well Engineering expert:
Well Construction || Well Completion || Well Intervention || Well Production Optimization",Mobile.Equity.Justice.Fairness,600,482,3649,20,"Reuben Abati ARISE TV - “I’m calling on other Presidential Candidates to please come on Arise TV and speak to Nigerians like Peter Obi has done credibly”

Atiku Abubakar and Bola Tinubu come outside! You Dey fear? 🙈

#Obidatti023 #ObiDatti2023 jandor Rufai Mourinho Peter Obi https://t.co/c0Xn1D9CVk"
376,376,amtgbanks,"Event host/Comedian/Mc,Content creator,Radio/Tv host.",,860,1061,19826,2457,"This is how you can convince me to vote for your candidate... @fkeyamo Bring out your 2015 and 2019 party manifesto, then start clicking one after the other the once you've achieved. If you've achieved 30% out of ur 100% manifesto, I'll withdraw my support for Peter Obi."
377,377,chucky2248,"Architecture,construction,transportation and renewable energy.",nigeria,2171,1989,17092,30,"""I will be happy leaving the future of my children and grandchildren in the hands of Peter Obi"" - APC chieftain, Morphy Ray explains why he is campaigning for Obi. https://t.co/mzv8RkdbVu"
378,378,wizkidvoice,Everything @wizkidayo. @Manutd,🌟 STARBOY 🌹,439,841,55108,497,"Peter Obi has taken over the political landscape. There is no room for laxity. Strongholds are broken and hopes ignited.

Arise TV Peter Obi Rufai Kenneth Okonkwo Keke Yansh Ortom Nnamdi Kanu Labour Party https://t.co/bZSm4eqVFN"
379,379,successful741,"almost a perfect gentleman.

                                                 @ManUtd ❤ @BurnaBoy ❤backup @successful147",PETEROBI4PRESIDENT2023 ,1058,1180,17531,59,"This is for Peter Obi's Interview on Arise Tv.
https://t.co/sbQ8HclV24"
380,380,mhasta_richard,"Proud father of none... Still someone's daddy🌚

#StayHydrated... Drink water","Benin-City, Nigeria",1437,1399,113432,489,"Gist 101: A thread 👇
So I was in this Salon earlier today and playing @peterobi interview on Arise TV via my mobile device.
One woman responded at the back in Yoruba language ""it is that man we want oh"", the lady she was attending to responded ""Shebi Peter Obi Abi""? and 4 other"
381,381,iam_mayoor,Christian. /Tailor/. /model/ .Criminologist. Husband. service to humanity is the best work of life,Nigeria,1993,2230,161478,1494,"Peter Obi: Candidates must tell Nigerians their plans themselves and not through media aides 

Live on #TheMorningShow https://t.co/50QJqQMRtC"
382,382,CaeserCastro,Pharmacist || Cryptocurrency || Junior Fullstack Software developer || OBIdient.,Linux terminal,1088,377,13739,426,"Massive Obi-datti Billboard in one of the major roundabout in Minna, Niger state. Don't doubt when we say there's massive push in the North for Peter Obi to be president. 
Retweet to press their necks😂😂

Seyi Tinubu #PeterObiForPresident Anambra Oba of Benin Pastor https://t.co/0ynFZ62po0"
383,383,Horlatayour,Sitting on d clouds!,Treasure Island ⚓️,1538,868,62222,2978,"When Mr Peter Obi mentioned the size of River Niger and River Benue and also Rver Nile,
 Rufai Oseni ,said  let me fact check u, he said go on...He fact checked and said correct !!!! I quickly remembered Wike band song A biggie man A biggie man 🤣🤣🤣🤣🤣🤣"
384,384,leirbagayn,"| Lover Of Nature, Art & Design | MusicJunkie | #ICTExpert | Good Governance Advocate | #RealEstate | Parler @leirbagayn | #Arsenal",,2549,2558,46269,4533,"DO YOU REMEMBER? 
Peter Obi was in Haiti in 2010 after the earthquake with Bob Manuel, aside from donating USD 200,000 he served as an aid worker with his son. 
Was he doing it because he wanted to run for president of Haiti?
No! https://t.co/KoLCuJnwFn"
385,385,nursebuchi,RN 💉/MSc. Health Informatics/Pro DJ// #PeterObi,,2112,1806,31287,7,"Tinubu and Shettima's wives flying NAF Aircraft? As what exactly? I hope NAF Aircrafts are available for Peter Obi, Atiku, Sowore and Kwankwaso's wives? Let's all be MAD in this Country!"
386,386,boscojay2000,,,976,867,14165,741,"Reuben Abati’s question to Peter obi pertaining his private life is unprofessional,how can you ask a married man about a girlfriend on TV interview,I think it’s disgraceful,@ARISEtv you should take action on this CALUMNY !"
387,387,Jimiginger__,Alone with my thoughts ||  Ex-boy || Ex-Soldier || Digital Marketer,In High Places ,1035,1695,276045,1860,"On my watch those who steal government money will meet what they didn't bargain for.

-Peter Obi on Arise TV."
388,388,OscarosharE,Very patriotic Nigerian.Loves sincere leaders. Hate looters but accepts them when they repent.Let's be good citizens.,"Lekki, Nigeria",176,197,6677,0,@TheresaTekenah The obidiots will give him the document to work with - Peter Obi wan carry us go where we noh know for Anambra
389,389,pendy79,I am a Product of God's abundant grace and mercy.,"Newcastle Upon Tyne, England",89,99,2887,85,"How can somebody who claimed to be educated say Peter Obi mouth manifesto is better than Tinubu’s written manifesto, are we sure these people are educated at all?"
390,390,chijiok19,,,219,16,94,724,"“In my reconciliation, we'll go to back &amp; apologise to certain people, there are many things we need to revisit and apologize for in this country. As the president, I'll apologize to the people of Niger Delta for the way they have been treated”

- Peter Obi on Arise TV."
391,391,leirbagayn,"| Lover Of Nature, Art & Design | MusicJunkie | #ICTExpert | Good Governance Advocate | #RealEstate | Parler @leirbagayn | #Arsenal",,2549,2558,46269,1361,Peter Obi came to promote peace on Arise Tv with Rufai and Reuben but Kenneth Okonkwo came to AIT with 2by2. He chose vawlence!😂 https://t.co/EIbJSNBz2b
392,392,iam_mayoor,Christian. /Tailor/. /model/ .Criminologist. Husband. service to humanity is the best work of life,Nigeria,1993,2230,161478,1468,"One bragging right (above all others imo) that obedients don’t nail on more is Peter Obi’s stance that he has never received a dime in pension from Anambra state. 

Can any other politician alive in this country boast of that?"
393,393,ChampionThe1st,The Champion || I win || Caveat lector ⚠ || RTs ≠ 👍 || Reinventing...★,Wayfaring ,471,638,1600,1418,"Peter Obi on Arise TV is melting me up.
We can't afford to miss this man.

God! Let thy will be done."
394,394,Bossman27276812,God is God and Nothing is Impossible before HIM! 🙌,,1229,119,9342,1274,"Northern Nigeria don't joke with Mr Peter Obi !!! 
Make sure you Retweet 😁😁😁 https://t.co/uWRbWSR4Pf"
395,395,IAM_NNEBS,Cules ....Visca Barca SC: Ogachijioke,Nigeria,422,450,53745,1525,"BAT was so disappointed with Ganduje during his visit to Kano. After the huge amount APC paid to hire crowd, people refused to show up. It is clear that nobody can brag about having north any more. All that Peter Obi support groups have to do is to be strategic. We can do it."
396,396,izzytheicon,Host with the most . I am iconic🎤 Wizkid FC🦅 #ENDSARS @FCBarcelona @warriors #Dubnation @wizkidayo @oxladeofficial aPHRI ™️,"Victoria Island, Nigeria",2982,3568,191433,2999,"Rufai on Arise TV “When will you release your manifesto”

Peter Obi “What’s more manifesting than what I’m telling you with my mouth”

😂😂😂😂😂 Daddy came to press necks and we love it!"
397,397,Mayfirstdude,"Manager (@Descushiel) an entrepreneur. @Stanshoess IG @stanshoess and WhatsApp 0901 836 2586 to place your order.❤️ #Endsars I Also Declutter.
LET LOVE LEAD!",where ever u want me to be,4956,4417,106606,625,"They will never show you Videos like this! We are not making a mistake in Electing Peter Obi to librate this country, he has done it before in Anambra State. 

Abuja • Labour Party • Aso Rock • Kano • Seyi Tinubu • Delta • Ooni • South East. https://t.co/ftfo0LRYW4"
398,398,onyejichristia3,,,143,18,285,1870,"I am committed to winning more BAT supporters to Peter Obi candidacy after listening to PO on Arise TV this morning. I am tired of defending failures and translating speeches. 
So help me Lord."
399,399,iam_mayoor,Christian. /Tailor/. /model/ .Criminologist. Husband. service to humanity is the best work of life,Nigeria,1993,2230,161478,997,"I just finished watching Peter Obi on ARISE Tv, you need to see how people gathered in this office to watch him, Nigerians like to listen to Peter."
400,400,sam106online,#TeamNigeria#TeamRealMadridFC# LASUalumnus#FollowBack.,Lagos Nigeria,845,556,3641,957,"I hope you guys heard when Peter Obi talked about how the Umza farm in Kano which he invested in generates its power from waste.

Rufai Oseni verified that.

See, Nigeria is workable. Very workable."
401,401,firstnameejike,Mind over Matter | Tech enthusiast | One of a kind | Successful | Visionary | Uranus | Blue-Gray | Sapphire | NC-SE-NE-SW Ambassador | Engineering,Nigeria,969,195,10237,528,"Update!
On Peter Obi's visit to some prominent Muslim clerics which I mentioned earlier. The PCC Intervention team under the chairmanship of @ifediokwenna contacted me and we are making progress. Very soon you will start seeing pictures from such visits. The PCC are not joking!"
402,402,ElTigrei,S.O. Teric | Building a new ledge for legend,Over My Head,128,127,50936,420,Both bankers and customers gathered to watch Peter Obi Arise TV interview today in the bank. Nigeria shouldn't miss this man. Even Rufai and Reuben Abati  were impressed! https://t.co/0FlJtrIB7d
403,403,successful741,"almost a perfect gentleman.

                                                 @ManUtd ❤ @BurnaBoy ❤backup @successful147",PETEROBI4PRESIDENT2023 ,1058,1180,17531,1361,Peter Obi came to promote peace on Arise Tv with Rufai and Reuben but Kenneth Okonkwo came to AIT with 2by2. He chose vawlence!😂 https://t.co/EIbJSNBz2b
404,404,davidodama5,,,25,0,181,1047,"‘If You Put A Gun To My Head, I Won’t Reveal How I’m Going To Deal With Insecurity In Nigeria’, Says Peter Obi When Asked How He’ll Curb Insecurity | Sahara Reporters https://t.co/evoG0FHCQj https://t.co/4VEN9RaMiX"
405,405,iam_mayoor,Christian. /Tailor/. /model/ .Criminologist. Husband. service to humanity is the best work of life,Nigeria,1993,2230,161478,2978,"When Mr Peter Obi mentioned the size of River Niger and River Benue and also Rver Nile,
 Rufai Oseni ,said  let me fact check u, he said go on...He fact checked and said correct !!!! I quickly remembered Wike band song A biggie man A biggie man 🤣🤣🤣🤣🤣🤣"
406,406,ObiFlagboy,OBI FLAG BOY 🇳🇬,OBIDIENT FLAG MOVEMENT ✊,1942,20963,689,3,Have you convinced your parents about Peter Obi??
407,407,Chukwud46319275,Every soul has a testimony to give.,Dakar,1129,160,4850,10,@ozor_justin I just love how Peter Obi was just being calm and peaceful on one interview while Kenneth was dragging people in the other I was wanting Peter to just tell those men to shut up but I know our principal has to save face I trust Uncle Kenneth to do the dragging 🥹😂👏🏾
408,408,iam_estevez,"essien.fgpl@gmail.com |

Realtor | 
Geologist |
Data Analyst |
ObiDatti2023🇳🇬 |

•Comfortable with the dark side of life 
•Chelsea Fan | 50% Efik | 50% Ibibio","Accra, Ghana",677,411,8917,164,"Rufai, even with a gun to my head, I can't give you details of how I will deal with security. If I tell you, it won't work. ~ HE Peter Obi on Arise TV

🇳🇬Togo Ezra Ooni Kano Nengi Toothache Nollywood Ronaldo Sabinus Keke Bashir Visa Tunde #davido Indomie🇳🇬
https://t.co/YSirsm2vtF"
409,409,jaymz_holy,"Brand Identity Strategist ✍, UI/UX Designer 🎨, Graphics Design Instructor 🕴, i rap to save souls😎  🇳🇬","Abuja, NG",1760,968,4870,1894,"This brought tears to my eyes. I think Peter Obi’s decision about this issue goes a long way to show the kind of heart he has. 

#PeterObi4President2023 Kenneth Okonkwo #AbujaTwitterCommunity Arise TV #davido Yansh #Cheating Crocs Tank Nengi https://t.co/i5c5dgzO9s"
410,410,olatunji_AR,Muslim,somewhere floating,2365,1103,52363,1860,"On my watch those who steal government money will meet what they didn't bargain for.

-Peter Obi on Arise TV."
411,411,staysafebby,"bad times turn to good memories, smile!",7 side,90,326,28008,2160,"my album drops friday, even if Drake, Kanye, Wizkid, Beyonce, Micheal Jackson, Rihanna, Davido, Vic O, Madonna, Justice league, Super man, Dr Strange,leanardo dicaprio, Lewis Hamilton,Valentino rossi, Peter Obi, Ecclesiastes, Socrates, spinall all decide to drop albums that day‼️ https://t.co/RIhvmQM98P"
412,412,Spunkypower1,"for starters, am g.power.observing creative.really sensitive  ..above all no matter the swaggg God first...,,      #possibleNigeria.
#Realmadrid .est.1998","Lagos, Nigeria",4305,264,3684,42,"Sunak is a philosopher, so is Peter Obi.

Sunak is an Oxford Alumni, so is Peter Obi.

Sunak was a banker, so is Peter Obi.

At 42, Sunak is UK's first Asian Hindu PM, so will PO be Nigeria's first executive president of Igbo extraction.

Ikoyi Seyi Tinubu Go and Verify https://t.co/vOv7EDCbxF"
413,413,iam_mayoor,Christian. /Tailor/. /model/ .Criminologist. Husband. service to humanity is the best work of life,Nigeria,1993,2230,161478,1870,"I am committed to winning more BAT supporters to Peter Obi candidacy after listening to PO on Arise TV this morning. I am tired of defending failures and translating speeches. 
So help me Lord."
414,414,Chibswill,"Here for fun although I can be serious too!😎✌️ I am obidient!🤝,MUFC FAN, An agriculturist!",Nigeria,939,654,4445,533,"Dear Mr. Peter Obi,

We saw you 2 days ago in a boat without a life jacket. Please what kind of rough play is that, sir?

If something happens to you, what will you tell us? 😡

Please note that you're now a property of the Obidients and you're not permitted to even have malaria."
415,415,onyejichristia3,,,143,18,285,277,"You cannot help listening to Kenneth Okonkwo…
The voice control, passion, knowledge, understanding of the constitution ( quotes ), intelligence!!!
All television stations are rushing to have in.
He did another blockbuster in AIT kakaki…
It Is Peter YAKUBU obi &amp; others"
416,416,successful741,"almost a perfect gentleman.

                                                 @ManUtd ❤ @BurnaBoy ❤backup @successful147",PETEROBI4PRESIDENT2023 ,1058,1180,17531,1404,"So if Peter Obi didn't come out, this is the kind Conversaations we will be having?😭😭

May God have mercy upon us! https://t.co/EOnuVZQ88C"
417,417,uchevictors,"Mechanical Engineer, Data Analist","Nova Scotia, Canada",1857,861,14718,957,"I hope you guys heard when Peter Obi talked about how the Umza farm in Kano which he invested in generates its power from waste.

Rufai Oseni verified that.

See, Nigeria is workable. Very workable."
418,418,GudGovAdvocacy,"Ensuring we enshrine good Governance, Equity and Freedom in Nigeria & Africa as a whole. #AntiEstablishment #LagosIsland4Obi    I follow back immediately","Lagos, Nigeria",1044,702,3523,86,"Peter Obi : River Nile is 6650 kilometres long.

Rufai : Hold on I will fact check it

Rufai : Nile is actually 6650 kilometers long.

Peter Obi is a walking encyclopedia!"
419,419,Chibswill,"Here for fun although I can be serious too!😎✌️ I am obidient!🤝,MUFC FAN, An agriculturist!",Nigeria,939,654,4445,516,"Rishi Sunak is 42 years old and his occupation is the “UK prime minister” 

Reno Omokri is 48 years old and his occupation is “Table Shaker and Attacker of Peter Obi.”"
420,420,1st_Chidi,Igbo/ I identify as chairman/ Historian/ writer/ Onyeogadilinma,university of Nigeria/ Asaba,3442,2500,376423,519,"Peter Obi's last five years as a governor, Anambra State was the safest State in the country. 

Peter Obi will tackle insecurity."
421,421,SamuelObiora_,¦ ᴄʜʀɪsᴛɪᴀɴ ⛪ ¦ sᴘᴏʀᴛ ᴇɴᴛʜᴜsɪᴀsᴛ ¦ ᴍᴇssɪ 🐐  ¦  ᴠɪsÇᴀ ʙᴀʀᴄᴀ  ¦ ᴀʀᴄʜɪᴛᴇᴄᴛ,,3097,3133,46791,47,Here is @fkeyamo in his right sense predicting the coming of Peter Obi and how Nigerians and people like him will constantly abuse and attack him.hear from the horses mouth https://t.co/jpYrbvfjqn
422,422,Bosco_nwaeziagu,Am An Avoider🙇🔫love Hard. Road life Old classic♥️ lover/Not Interested in what I'm not Interested In. No Stress please🎶Burna,,181,31,202,54,"In 2019 I was a good man, the only offense i committed now is because I want to be president.~HE Peter Obi 

🇳🇬Rishi Sunak Kenneth Okonkwo Ezra Ooni Kano Toothache Uber Bolt Obaseki Nollywood South Korea Abati Hazard Rufai Wike Sabinus Keke Bashir Tunde🇳🇬
https://t.co/8Z8qA41d7N"
423,423,iam_mayoor,Christian. /Tailor/. /model/ .Criminologist. Husband. service to humanity is the best work of life,Nigeria,1993,2230,161478,2335,"Peter Obi know the size of River Niger, River Benue and River Nile.

He was fact checked right on TV by Rufai, and he was correct.
Does your President Buhari know these things?

Who else is seeing a President who is ready?"
424,424,Bossman27276812,God is God and Nothing is Impossible before HIM! 🙌,,1229,119,9342,112,Peter Obi in 2010 was ICT Governor of the Year-by the West Africa ICT Development Award.
425,425,IrogAnthony,"Educator 📙 Writer 🖋 !

Is God not too much? Surely He is and does things in mysterious ways!","Ikot Ekpene, Nigeria",469,382,11193,2794,If Peter Obi dey enter ya eye...say nothing. Just retweet. https://t.co/4TI6XntiQX
426,426,petrejoe,Potrait and Urban art photographer  for bookings pjfotography526@gmail.com,"Abuja, Nigeria",1819,1960,44412,645,"Guys if you really want to know what is going on in Nigeria today, watch this video attentively. In the video they said ""what should be one of the richest,is the poorest"". Reason they make sure peter obi doesn't get there.

Be wise.

Rufai range rover abati Kenneth okonkwo NYSC https://t.co/SosksqOeMx"
427,427,Blackseid,"Music, Business and Football (YNWA). Manager @SouthSeidMusic.",Southseid,757,1150,105319,2160,"my album drops friday, even if Drake, Kanye, Wizkid, Beyonce, Micheal Jackson, Rihanna, Davido, Vic O, Madonna, Justice league, Super man, Dr Strange,leanardo dicaprio, Lewis Hamilton,Valentino rossi, Peter Obi, Ecclesiastes, Socrates, spinall all decide to drop albums that day‼️ https://t.co/RIhvmQM98P"
428,428,NobleOfohaorji,Naval Architect ⚓️ Avid Manchester United❤️ fan!,Nigeria,1025,1072,16460,1860,"On my watch those who steal government money will meet what they didn't bargain for.

-Peter Obi on Arise TV."
429,429,iam_mayoor,Christian. /Tailor/. /model/ .Criminologist. Husband. service to humanity is the best work of life,Nigeria,1993,2230,161478,1063,"What's killing Nigeria today is wealth without Enterprise.

Peter Obi on Arise TV."
430,430,MaziBelieve,Architect|Member Umu nna| I laugh too much | Peter Obi Stan,Unknown,1117,429,15760,611,"In 4months, Peter Obi has addressed Nigerians more than Buhari did in 8years as President. If you make Agbado your President, trust me, you won't see his shadow, or even a picture of him for the next 8years. Don't say you weren't warned."
431,431,Chibswill,"Here for fun although I can be serious too!😎✌️ I am obidient!🤝,MUFC FAN, An agriculturist!",Nigeria,939,654,4445,576,"Is Peter YAKUBU Obi owing Reno? At this point, the attack is becoming too personal and dangerous.
I can comfortably say that Reno is obsessed with Peter YAKUBU obi and needs medical help.
He sleep, dreams and attacks Obi!
This is now sickening"
432,432,OwotorA,"Am a textile Artist ( Batik arts), Studied Microbiology at University of Nigeria Nsukka. Indigenous interior designer, fashion and creative arts.","Lagos, Nigeria",618,740,2236,1870,"I am committed to winning more BAT supporters to Peter Obi candidacy after listening to PO on Arise TV this morning. I am tired of defending failures and translating speeches. 
So help me Lord."
433,433,NobleOfohaorji,Naval Architect ⚓️ Avid Manchester United❤️ fan!,Nigeria,1025,1072,16460,521,"Peter Obi will take responsibility for the wrongs of the past. The Obi I know will apologize to Nigerians on behalf of the PDP &amp; the APC. As a man who is quick to say “he’s sorry,” he’ll apologize for the #EndSARS Lekki Tollgate Killings, &amp; give the youths the much needed closure"
434,434,iamprincegagat,"Founder Gagat Chill Zone Lounge & Bar IG: @gagatchillzone, CEO PGA Global Uno Resources Ltd, Marketing Director Honors Oil & Gas",Eriwhere u find OIL #datisall,1112,1326,110557,709,"Peter Obi is so stingy. Warra shame. Why would he donate something so small? Did He forget that Nigerians only care about money &amp; not how it was made?

When his mates were hoarding palliatives in warehouses and receiving pensions to suck their states dry, where was he? https://t.co/2rlVO0gTkU"
435,435,iam_mayoor,Christian. /Tailor/. /model/ .Criminologist. Husband. service to humanity is the best work of life,Nigeria,1993,2230,161478,516,"Rishi Sunak is 42 years old and his occupation is the “UK prime minister” 

Reno Omokri is 48 years old and his occupation is “Table Shaker and Attacker of Peter Obi.”"
436,436,firstnameejike,Mind over Matter | Tech enthusiast | One of a kind | Successful | Visionary | Uranus | Blue-Gray | Sapphire | NC-SE-NE-SW Ambassador | Engineering,Nigeria,969,195,10237,2128,"Peter Obi must be President. 

God please abeg."
437,437,AkioyaEmmanuel,,,414,53,337,366,"Ruffai: Will ur vice presidential candidate Ahmed Datti's apologise on his comment on #EndSARS? 

Peter Obi: There are so many things we need to apologize for in this country, I am the president, so I'll be the one to Apologise.

- Peter Obi on Arise TV https://t.co/vkfMWioQEq"
438,438,Chibswill,"Here for fun although I can be serious too!😎✌️ I am obidient!🤝,MUFC FAN, An agriculturist!",Nigeria,939,654,4445,2335,"Peter Obi know the size of River Niger, River Benue and River Nile.

He was fact checked right on TV by Rufai, and he was correct.
Does your President Buhari know these things?

Who else is seeing a President who is ready?"
439,439,IPLawyerNg,"Lawyer, Tech & Intellectual Property Law enthusiast.

Actively involved in the Creative, I.T, Manufacturing, Healthcare & Agro-value chain industries.","Port Harcourt, Nigeria",369,103,167,1274,"Northern Nigeria don't joke with Mr Peter Obi !!! 
Make sure you Retweet 😁😁😁 https://t.co/uWRbWSR4Pf"
440,440,daphnelulu22,#EndSARS #EndPoliceBrutality,"Lagos, Nigeria",1322,1004,25551,1258,"Rufai: Are you saying your Vice Presidential candidate should apologize regarding his recent comments on End Sars?

Peter Obi: I'm the ""President"", I'll be the one to apologize. We have alot of people to apologize to.

Phew. Goose pimples."
441,441,leo_ogba,"ObiDatti candidacy 
Labour Party","Ontario, CA",81,92,541,30,"Watch how Peter Obi tackles those who accused him of being stingy &amp; that he shared only 12 loaves of bread to flood victims. 😂

/2
Seyi Kenneth Okonkwo South West NYSC Abati https://t.co/p0XUP8ih8V"
442,442,ROAdeniran,Data Analyst| Data Viz 📊| Insights from Numbers,"Lagos, Nigeria",2273,1864,57088,144,"Peter Obi: 'My children insist on recording me whenever I speak at home because they know I may likely go back on my promises'

Obi de carry Obidients go where dem no know😂😂😂 https://t.co/vi0af596RU"
443,443,OwotorA,"Am a textile Artist ( Batik arts), Studied Microbiology at University of Nigeria Nsukka. Indigenous interior designer, fashion and creative arts.","Lagos, Nigeria",618,740,2236,2128,"Peter Obi must be President. 

God please abeg."
444,444,DanielValantine,"I am me. An instrumental musician 🎸, a photographer📷, a historian📚📚, a writer, an art enthusiast🎨, The Devil 😈","Owerri, Nigeria",3521,4806,192249,240,"Please Go and Fact check Mr Peter Obi
When he talked about the population of Pakistan and number of cars they have with regards to subsidy scandal....Come back and give this man his flowers 🌹🌹 Excellent interview at Arise TV https://t.co/9TLYNtaEnQ"
445,445,marvisuniq69,PISCES ♓️,,634,706,5670,366,"Ruffai: Will ur vice presidential candidate Ahmed Datti's apologise on his comment on #EndSARS? 

Peter Obi: There are so many things we need to apologize for in this country, I am the president, so I'll be the one to Apologise.

- Peter Obi on Arise TV https://t.co/vkfMWioQEq"
446,446,Gameghost19,Business consultant,"Jeffersonville, IN",310,70,1248,1294,"Special thanks to @PeterObi for never giving us stress after his interviews. No need for astrologers, diviners, prophets, soothsayers, tongue-twisters, speech-writers, Akeelah and Bee contestants, online warriors, mathematicians &amp; corn-men to explain what Peter Obi said. Arise TV https://t.co/2I9yFPf6RV"
447,447,just_ognatty1,Promoter/ Internet Marketer/ social media manager | Writer |Entrepreneur| content creator/MD @ikhonaglobal official promoter of @msjorji @novalionn @Rhapcee etc,Creativity World ,2213,1860,19300,18,"Buhari mistake of not building a dam as a military general...it's what we are suffering today in 2022. He has been in aso rock since 2015, only GOD knows what our children will suffer years to come if  we Nigerians do not ensure Peter Obi is elected.

Mr Peter Obi   Malami   Wike"
448,448,uchevictors,"Mechanical Engineer, Data Analist","Nova Scotia, Canada",1857,861,14718,521,"Peter Obi will take responsibility for the wrongs of the past. The Obi I know will apologize to Nigerians on behalf of the PDP &amp; the APC. As a man who is quick to say “he’s sorry,” he’ll apologize for the #EndSARS Lekki Tollgate Killings, &amp; give the youths the much needed closure"
449,449,michaeltobi24,Am a man that's like to relate with people of right intellectual and core values,,480,144,6366,461,"According to Steve of Arise News TV, lots of Nigeria’s retired army gens, policemen, &amp; women are very Obidient. 

With the way our movement is spreading like wildfire, d entire country will have become very Obidient by the time we get to February 25th, 2023.

Peter Obi is better!"
450,450,Spunkypower1,"for starters, am g.power.observing creative.really sensitive  ..above all no matter the swaggg God first...,,      #possibleNigeria.
#Realmadrid .est.1998","Lagos, Nigeria",4305,264,3684,140,"Rufai is never partial. Just look at the hard questions he is throwing at  Peter Obi which he responds perfectly. I just wish Arise TV can invite other presidential candidates to appear and answer questions live. 

Jandor Nyash Seyi Tinubu Osimhen ado rock ooni Enugu Iwobi https://t.co/CelF4BzgkZ"
